agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n
CRL,antmaze-large-navigate-v0,0.0134,0.0,0.0134,0.0144,0.0134,0.0,0.0009,-0.0,64
GCIQL,antmaze-large-navigate-v0,0.1911,0.0246,0.2103,0.2196,0.1857,0.0192,0.0093,0.0054,64
GCIVL,antmaze-large-navigate-v0,0.3359,0.0663,0.404,0.4434,0.3377,0.0681,0.0394,-0.0018,64
QRL,antmaze-large-navigate-v0,0.1502,0.0089,0.1572,0.1579,0.1483,0.0071,0.0007,0.0019,64
CRL,antmaze-medium-explore-v0,0.0803,0.0049,0.0847,0.0915,0.0798,0.0043,0.0068,0.0006,64
GCIQL,antmaze-medium-explore-v0,0.153,0.0173,0.173,0.1872,0.1557,0.02,0.0142,-0.0027,64
GCIVL,antmaze-medium-explore-v0,0.3089,0.0223,0.3255,0.3387,0.3032,0.0166,0.0132,0.0057,64
QRL,antmaze-medium-explore-v0,0.0363,0.0002,0.0365,0.043,0.0363,0.0002,0.0064,0.0,64
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0655,0.0228,0.09,0.0944,0.0672,0.0246,0.0044,-0.0018,64
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.1313,0.0137,0.1477,0.1626,0.134,0.0164,0.0149,-0.0027,64
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.2322,0.0791,0.2997,0.3866,0.2206,0.0676,0.0868,0.0116,64
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0957,0.0005,0.0957,0.0969,0.0952,0.0,0.0012,0.0004,64
CRL,antmaze-medium-explore40navigate-v0,0.0107,0.0019,0.0127,0.0131,0.0108,0.002,0.0003,-0.0001,64
GCIQL,antmaze-medium-explore40navigate-v0,0.174,0.0064,0.1786,0.1819,0.1722,0.0046,0.0032,0.0018,64
GCIVL,antmaze-medium-explore40navigate-v0,0.3141,0.01,0.3254,0.3262,0.3154,0.0113,0.0008,-0.0013,64
QRL,antmaze-medium-explore40navigate-v0,0.1253,0.001,0.1259,0.1276,0.1248,0.0006,0.0018,0.0004,64
CRL,antmaze-medium-explore80navigate-v0,0.0075,0.0001,0.0077,0.0085,0.0075,0.0002,0.0008,-0.0,64
GCIQL,antmaze-medium-explore80navigate-v0,0.1359,0.0067,0.1453,0.1503,0.1386,0.0094,0.0051,-0.0027,64
GCIVL,antmaze-medium-explore80navigate-v0,0.2183,0.0072,0.2242,0.2355,0.217,0.0059,0.0113,0.0013,64
QRL,antmaze-medium-explore80navigate-v0,0.1342,0.0023,0.1361,0.1429,0.1339,0.0019,0.0068,0.0003,64
CRL,antmaze-medium-navigate-v0,0.0573,0.0001,0.0574,0.059,0.0573,0.0001,0.0016,-0.0,64
GCIQL,antmaze-medium-navigate-v0,0.2798,0.0159,0.2922,0.3176,0.2763,0.0124,0.0254,0.0035,64
GCIVL,antmaze-medium-navigate-v0,0.2841,0.041,0.3394,0.3395,0.2983,0.0553,0.0001,-0.0142,64
QRL,antmaze-medium-navigate-v0,0.1328,0.0008,0.1345,0.1465,0.1337,0.0017,0.012,-0.0009,64
CRL,cube-single-play-v0,0.0022,0.0003,0.0025,0.0043,0.0022,0.0003,0.0017,-0.0,64
GCIQL,cube-single-play-v0,0.0373,0.0346,0.0726,0.0793,0.038,0.0352,0.0067,-0.0007,64
GCIVL,cube-single-play-v0,0.2449,0.0483,0.2823,0.3245,0.234,0.0374,0.0422,0.0109,64
QRL,cube-single-play-v0,0.0024,0.0006,0.0031,0.0039,0.0025,0.0006,0.0008,-0.0001,64
CRL,scene-play-v0,0.075,0.0024,0.0767,0.0767,0.0743,0.0017,0.0,0.0007,64
GCIQL,scene-play-v0,0.1392,0.0058,0.145,0.1474,0.1392,0.0058,0.0024,0.0,64
GCIVL,scene-play-v0,0.1857,0.0134,0.2031,0.2032,0.1897,0.0174,0.0001,-0.0039,64
QRL,scene-play-v0,0.3247,0.0087,0.3348,0.335,0.326,0.0101,0.0002,-0.0013,64
