checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,0,actor,0.580957,0.017271,1.102797,0.213194,4.870791,0.092169,0.226396,0.043511,-0.890329,0.133106,-1.993126,0.156596
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,0,actor,0.582673,0.017253,1.108145,0.201189,4.863801,0.072224,0.22805,0.04301,-0.900906,0.120823,-2.00905,0.167681
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,0,actor,0.583525,0.014992,1.125722,0.179199,4.869976,0.081807,0.231332,0.038506,-0.832519,0.120513,-1.958241,0.161905
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,0,actor,0.582555,0.016776,1.125693,0.198192,4.932375,0.088996,0.228357,0.041291,-0.901752,0.143511,-2.027445,0.15008
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,0,actor,0.577782,0.017087,1.078364,0.193905,4.905201,0.089358,0.220092,0.041384,-0.793929,0.120186,-1.872293,0.170494
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,1,actor,0.499956,3.3e-05,-7.9e-05,0.00025,3.601162,0.145429,-2.2e-05,7e-05,-3513.722607,0.386298,-3513.722534,0.386391
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,1,actor,0.499934,2.4e-05,-0.000713,0.000688,10.97527,0.592512,-6.3e-05,5.8e-05,-18226.471875,0.967517,-18226.470703,0.967495
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,1,actor,0.499951,3.9e-05,-0.001418,0.000248,13.265441,0.288917,-0.000107,1.9e-05,-4328.784082,0.668509,-4328.78252,0.668516
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,1,actor,0.499933,5.6e-05,0.000216,9.5e-05,8.13268,0.641588,2.6e-05,1.1e-05,-23008.923633,0.311644,-23008.923242,0.31204
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,1,actor,0.50044,0.008611,0.001732,0.010343,0.421447,0.021732,0.004495,0.024452,-0.583916,0.042456,-0.585649,0.036206
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,10,actor,0.57858,0.015552,1.0784,0.187586,4.84342,0.080966,0.222769,0.039491,-0.869185,0.124867,-1.947586,0.152378
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,10,actor,0.579272,0.015191,1.076477,0.17952,4.835292,0.070068,0.222852,0.038867,-0.845148,0.120168,-1.921625,0.15717
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,10,actor,0.58004,0.014735,1.078188,0.171152,4.830087,0.083121,0.22345,0.037424,-0.82408,0.118885,-1.902269,0.153711
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,10,actor,0.580392,0.014687,1.101441,0.170876,4.897635,0.086349,0.225069,0.036318,-0.856253,0.136295,-1.957694,0.147466
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,10,actor,0.578234,0.01605,1.075132,0.183041,4.86198,0.075937,0.221372,0.039534,-0.774408,0.120438,-1.84954,0.162827
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,11,actor,0.499982,2.4e-05,7.2e-05,0.000204,17.974647,0.903221,4e-06,1.1e-05,-4024.366992,0.858908,-4024.366846,0.858852
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,11,actor,0.499983,4e-05,9e-06,6.3e-05,2.083977,0.090206,4e-06,3.1e-05,-2564.425415,0.198533,-2564.425391,0.198505
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,11,actor,0.49699,0.002835,-0.000765,0.001647,0.291091,0.021772,-0.002448,0.005926,-0.325463,0.02006,-0.324698,0.019852
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,11,actor,0.50049,0.003354,-7.7e-05,0.001402,0.140386,0.009044,-0.000561,0.010064,-0.620712,0.004656,-0.620635,0.005099
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,11,actor,0.499847,8e-05,-0.000471,0.000121,2.056712,0.104632,-0.00023,6.1e-05,-7466.682275,0.15197,-7466.681543,0.152019
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,12,actor,0.576677,0.014621,1.033197,0.170881,4.743037,0.074189,0.218037,0.037521,-0.838021,0.121306,-1.871218,0.147011
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,12,actor,0.577802,0.01432,1.0439,0.165451,4.743372,0.068107,0.220297,0.036682,-0.812772,0.119042,-1.856672,0.149366
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,12,actor,0.580132,0.014372,1.063824,0.162835,4.740303,0.081676,0.224678,0.036571,-0.780067,0.122119,-1.843892,0.146212
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,12,actor,0.577935,0.013487,1.0477,0.154777,4.789685,0.080306,0.218924,0.033797,-0.819021,0.12912,-1.866721,0.141544
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,12,actor,0.576958,0.015244,1.035506,0.17026,4.750516,0.072788,0.218227,0.037795,-0.76973,0.11965,-1.805236,0.151742
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_13/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,13,actor,0.49962,7.7e-05,2.1e-05,5e-05,1.602831,0.131589,1.4e-05,3.3e-05,12492.950586,0.100942,12492.950488,0.100421
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_13/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,13,actor,0.499905,4.1e-05,-1.6e-05,7e-05,10.578351,0.420213,-1e-06,7e-06,-6870.694238,1.02689,-6870.694385,1.026946
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_13/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,13,actor,0.499951,3e-05,0.000382,0.000461,76.024025,3.589394,5e-06,6e-06,-62148.519531,3.420306,-62148.521094,3.419876
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_13/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,13,actor,0.499916,4.6e-05,0.000557,0.000235,4.795826,0.222847,0.000116,4.6e-05,-9467.637207,0.648704,-9467.637793,0.648946
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_13/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,13,actor,0.499969,2.4e-05,-1.7e-05,2.6e-05,6.985387,0.273112,-2e-06,4e-06,945.836035,0.484165,945.836029,0.484171
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_14/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,14,actor,0.575708,0.013203,0.930005,0.134933,4.352912,0.065148,0.213926,0.033267,-0.712378,0.118612,-1.642383,0.127297
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_14/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,14,actor,0.574588,0.01352,0.915355,0.137714,4.350297,0.06547,0.210693,0.033916,-0.718782,0.117477,-1.634137,0.128611
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_14/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,14,actor,0.575138,0.013265,0.918492,0.136872,4.351205,0.06701,0.211378,0.03379,-0.720313,0.119897,-1.638805,0.127279
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_14/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,14,actor,0.57447,0.013223,0.915666,0.134665,4.365268,0.066555,0.21003,0.032997,-0.722102,0.118096,-1.637768,0.126063
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_14/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,14,actor,0.575221,0.013277,0.921503,0.136742,4.347203,0.06691,0.212252,0.033672,-0.701273,0.115762,-1.622776,0.128604
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_15/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,15,actor,0.499681,0.00074,0.109689,0.009992,1.561932,0.029873,0.070159,0.005382,-57.10413,0.055502,-57.213819,0.053499
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_15/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,15,actor,0.465097,0.00575,-0.008533,0.00125,0.114252,0.004426,-0.074865,0.011974,-0.357267,0.0087,-0.348734,0.008133
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_15/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,15,actor,0.945919,0.009413,11.091823,0.399478,7.448764,0.169339,1.490051,0.070285,-1.237979,0.227361,-12.329802,0.207187
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_15/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,15,actor,0.50401,0.004225,0.000945,0.002852,0.160909,0.008991,0.005633,0.01758,-0.503677,0.015809,-0.504622,0.01468
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_15/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,15,actor,0.945847,0.011408,11.401463,0.526811,7.469658,0.213909,1.52822,0.096478,-0.483458,0.254409,-11.884921,0.311488
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_16/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,16,actor,0.575836,0.013139,0.933927,0.135834,4.362859,0.065071,0.214338,0.0334,-0.714356,0.119047,-1.648283,0.127883
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_16/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,16,actor,0.574571,0.013619,0.918957,0.138851,4.360068,0.065452,0.211048,0.034104,-0.722544,0.118136,-1.641501,0.12925
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_16/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,16,actor,0.575142,0.013307,0.923123,0.137379,4.361545,0.066966,0.21194,0.033842,-0.722686,0.120241,-1.645809,0.127593
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_16/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,16,actor,0.574396,0.013212,0.91772,0.134694,4.376854,0.066935,0.209943,0.032919,-0.724879,0.118163,-1.6426,0.126336
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_16/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,16,actor,0.57525,0.013312,0.924316,0.137651,4.356613,0.067045,0.21244,0.033812,-0.70157,0.116021,-1.625887,0.129207
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_17/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,17,actor,0.499879,6.1e-05,-4.8e-05,0.000312,3.792023,0.203909,-1.5e-05,8.3e-05,-907.30116,0.216457,-907.301117,0.216666
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_17/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,17,actor,0.945446,0.010856,10.617545,0.435684,6.921848,0.163431,1.535163,0.083166,-1.234158,0.263041,-11.851703,0.224254
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_17/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,17,actor,0.047131,0.011157,-15.412568,0.724697,10.23227,0.244987,-1.507457,0.087845,-3.239423,0.416874,12.173145,0.362529
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_17/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,17,actor,0.500515,0.00068,0.000927,0.000599,0.544966,0.028079,0.001706,0.001069,-0.377368,0.02471,-0.378294,0.024473
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_17/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,17,actor,0.503542,0.006412,0.001478,0.002422,0.105272,0.006361,0.014791,0.023061,-0.339571,0.015123,-0.34105,0.014352
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,18,actor,0.575668,0.013849,0.991679,0.155642,4.61284,0.069141,0.215233,0.035715,-0.793506,0.121467,-1.785185,0.140953
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,18,actor,0.57686,0.01346,1.001852,0.154355,4.617887,0.066429,0.217188,0.035399,-0.776008,0.117687,-1.77786,0.141012
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,18,actor,0.577572,0.014005,1.005581,0.152201,4.616327,0.07662,0.218103,0.035263,-0.74336,0.123643,-1.748941,0.140464
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,18,actor,0.577005,0.01268,1.00766,0.141657,4.65817,0.074579,0.216534,0.032176,-0.779479,0.124099,-1.787139,0.13488
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,18,actor,0.576478,0.014263,0.996339,0.157801,4.61481,0.071633,0.216171,0.036319,-0.748174,0.120328,-1.744513,0.142422
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,19,actor,0.499939,3.2e-05,1.8e-05,5.2e-05,8.521807,0.440471,2e-06,6e-06,-7849.279639,0.521915,-7849.279736,0.521877
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,19,actor,0.499939,2.8e-05,4e-05,7.8e-05,9.157382,0.566595,4e-06,8e-06,-21623.041797,0.440879,-21623.042188,0.440929
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,19,actor,0.499914,4.7e-05,-4.6e-05,0.000216,9.658718,0.279242,-5e-06,2.2e-05,-59274.523438,0.947741,-59274.525,0.945261
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,19,actor,0.499969,2.7e-05,-0.007462,0.005454,72.821267,2.542941,-0.000103,7.5e-05,54814.528906,4.26865,54814.535547,4.269111
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,19,actor,0.499254,0.000104,-5e-06,4.8e-05,3.811168,0.40205,-1e-06,1.3e-05,-16472.176367,0.355031,-16472.176367,0.355984
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,2,actor,0.576008,0.013182,0.949264,0.14017,4.426869,0.065794,0.214704,0.033897,-0.728481,0.121085,-1.677745,0.130798
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,2,actor,0.575139,0.013897,0.938689,0.143573,4.425806,0.065848,0.212373,0.03469,-0.74484,0.119994,-1.683528,0.132587
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,2,actor,0.575472,0.013413,0.939959,0.140426,4.42602,0.067876,0.212654,0.034035,-0.73485,0.122988,-1.674809,0.1312
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,2,actor,0.574496,0.013035,0.936035,0.134929,4.451307,0.068292,0.21054,0.032394,-0.742919,0.119291,-1.678954,0.12768
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,2,actor,0.575218,0.013396,0.937768,0.142045,4.419977,0.068683,0.212443,0.034348,-0.718987,0.117592,-1.656755,0.132958
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,20,actor,0.576922,0.014799,1.042904,0.174666,4.770505,0.075903,0.218799,0.037943,-0.855708,0.121493,-1.898612,0.148321
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,20,actor,0.578381,0.014412,1.056172,0.168096,4.769681,0.068476,0.221655,0.037021,-0.816778,0.119514,-1.87295,0.151108
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,20,actor,0.58044,0.014392,1.072364,0.165105,4.76536,0.082272,0.225282,0.036797,-0.786122,0.120947,-1.858487,0.147762
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,20,actor,0.578283,0.013682,1.058864,0.158136,4.818819,0.081864,0.219916,0.034274,-0.829248,0.130206,-1.888112,0.143035
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,20,actor,0.577276,0.015445,1.045852,0.173013,4.780886,0.073348,0.219002,0.038114,-0.782174,0.119589,-1.828026,0.15433
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,21,actor,0.499894,6.7e-05,-3.4e-05,0.000145,0.534639,0.025251,-6.4e-05,0.000269,-2329.183545,0.195754,-2329.183496,0.195824
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,21,actor,0.051654,0.012377,-14.363589,0.65586,9.003369,0.229291,-1.597015,0.097888,-3.151164,0.473769,11.212425,0.215107
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_53000/seed_2/params_53000.pkl,CRL,scene-play-v0,53000,2,21,actor,0.501873,0.000368,0.003101,0.000361,0.451038,0.025841,0.00687,0.000634,-2560.108032,0.404843,-2560.111084,0.405165
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_53000/seed_3/params_53000.pkl,CRL,scene-play-v0,53000,3,21,actor,0.500806,0.000263,0.000257,4.4e-05,0.147673,0.011891,0.001745,0.000293,-0.402878,0.006704,-0.403135,0.006725
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_53000/seed_4/params_53000.pkl,CRL,scene-play-v0,53000,4,21,actor,0.504044,0.003344,0.017438,0.004343,0.832226,0.033418,0.020928,0.005,873.701056,0.087055,873.683636,0.086165
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_53000/seed_0/params_53000.pkl,CRL,scene-play-v0,53000,0,22,actor,0.576089,0.013139,0.944162,0.137824,4.398159,0.065469,0.214945,0.033592,-0.720525,0.120213,-1.664687,0.129267
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/CRL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_53000/seed_1/params_53000.pkl,CRL,scene-play-v0,53000,1,22,actor,0.574865,0.013744,0.929655,0.141503,4.395668,0.065742,0.211776,0.034462,-0.735037,0.119819,-1.664693,0.130928
